"expr","time","model","times"
"markov1d",551873573401,"MARKOV-D",551.873573401
"markov1d",553948608664,"MARKOV-D",553.948608664
"markov1d",553228101072,"MARKOV-D",553.228101072
"markov1d",552193134060,"MARKOV-D",552.19313406
"markov1d",557640930366,"MARKOV-D",557.640930366
"markov1d",553010813705,"MARKOV-D",553.010813705
"markov1d",552675087669,"MARKOV-D",552.675087669
"markov1d",513822033208,"MARKOV-D",513.822033208
"markov1d",487051507772,"MARKOV-D",487.051507772
"markov1d",496505574363,"MARKOV-D",496.505574363
"markov1d",495312857106,"MARKOV-D",495.312857106
"markov1d",492920795602,"MARKOV-D",492.920795602
"markov1d",496706994050,"MARKOV-D",496.70699405
"markov1d",488265117768,"MARKOV-D",488.265117768
"markov1d",481136064032,"MARKOV-D",481.136064032
"markov1d",485370517918,"MARKOV-D",485.370517918
"markov1d",483031529465,"MARKOV-D",483.031529465
"markov1d",484717359374,"MARKOV-D",484.717359374
"markov1d",484489612261,"MARKOV-D",484.489612261
"markov1d",497983411802,"MARKOV-D",497.983411802
"markov1d",517517457034,"MARKOV-D",517.517457034
"markov1d",510688284148,"MARKOV-D",510.688284148
"markov1d",595341694728,"MARKOV-D",595.341694728
"markov1d",702339991720,"MARKOV-D",702.33999172
"markov1d",635409372458,"MARKOV-D",635.409372458
"markov1d",512934144923,"MARKOV-D",512.934144923
"markov1d",514844406397,"MARKOV-D",514.844406397
"markov1d",510463793887,"MARKOV-D",510.463793887
"markov1d",515809228196,"MARKOV-D",515.809228196
"markov1d",514807986929,"MARKOV-D",514.807986929
"markov1d",511669443351,"MARKOV-D",511.669443351
"markov1d",515565111579,"MARKOV-D",515.565111579
"markov1d",564973805170,"MARKOV-D",564.97380517
"markov1d",583804736805,"MARKOV-D",583.804736805
"markov1d",542799470700,"MARKOV-D",542.7994707
"markov1d",587470496606,"MARKOV-D",587.470496606
"markov1d",563338755555,"MARKOV-D",563.338755555
"markov1d",569835058200,"MARKOV-D",569.8350582
"markov1d",562197239781,"MARKOV-D",562.197239781
"markov1d",572114984877,"MARKOV-D",572.114984877
"markov1d",566732224750,"MARKOV-D",566.73222475
"markov1d",570983783964,"MARKOV-D",570.983783964
"markov1d",514601781470,"MARKOV-D",514.60178147
"markov1d",493707369111,"MARKOV-D",493.707369111
"markov1d",484600306404,"MARKOV-D",484.600306404
"markov1d",485481810580,"MARKOV-D",485.48181058
"markov1d",496566145742,"MARKOV-D",496.566145742
"markov1d",513816532472,"MARKOV-D",513.816532472
"markov1d",493650984105,"MARKOV-D",493.650984105
"markov1d",513057862054,"MARKOV-D",513.057862054
"markov1d",514884659694,"MARKOV-D",514.884659694
"markov1d",532595860113,"MARKOV-D",532.595860113
"markov1d",521594763638,"MARKOV-D",521.594763638
"markov1d",527759660455,"MARKOV-D",527.759660455
"markov1d",520514037500,"MARKOV-D",520.5140375
"markov1d",541356139082,"MARKOV-D",541.356139082
"markov1d",530234830682,"MARKOV-D",530.234830682
"markov1d",548791558326,"MARKOV-D",548.791558326
"markov1d",534461450464,"MARKOV-D",534.461450464
"markov1d",525122460027,"MARKOV-D",525.122460027
"markov1d",571843576931,"MARKOV-D",571.843576931
"markov1d",587812629330,"MARKOV-D",587.81262933
"markov1d",590221889366,"MARKOV-D",590.221889366
"markov1d",534541329843,"MARKOV-D",534.541329843
"markov1d",526418696810,"MARKOV-D",526.41869681
"markov1d",523090031553,"MARKOV-D",523.090031553
"markov1d",516639133607,"MARKOV-D",516.639133607
"markov1d",521841863843,"MARKOV-D",521.841863843
"markov1d",521915339950,"MARKOV-D",521.91533995
"markov1d",519723105927,"MARKOV-D",519.723105927
"markov1d",539104976394,"MARKOV-D",539.104976394
"markov1d",527170607544,"MARKOV-D",527.170607544
"markov1d",526889724204,"MARKOV-D",526.889724204
"markov1d",510733698298,"MARKOV-D",510.733698298
"markov1d",519347810078,"MARKOV-D",519.347810078
"markov1d",542613852347,"MARKOV-D",542.613852347
"markov1d",504972823986,"MARKOV-D",504.972823986
"markov1d",525380136409,"MARKOV-D",525.380136409
"markov1d",798374725379,"MARKOV-D",798.374725379
"markov1d",596357685904,"MARKOV-D",596.357685904
"markov1d",538306956686,"MARKOV-D",538.306956686
"markov1d",522966299150,"MARKOV-D",522.96629915
"markov1d",543769987179,"MARKOV-D",543.769987179
"markov1d",583544142526,"MARKOV-D",583.544142526
"markov1d",574659593787,"MARKOV-D",574.659593787
"markov1d",607860651906,"MARKOV-D",607.860651906
"markov1d",581575041361,"MARKOV-D",581.575041361
"markov1d",592291370551,"MARKOV-D",592.291370551
"markov_corr",1561219345,"MARKOV-EMB-Y",1.561219345
"markov_corr",1287205895,"MARKOV-EMB-Y",1.287205895
"markov_corr",1193307724,"MARKOV-EMB-Y",1.193307724
"markov_corr",1183087272,"MARKOV-EMB-Y",1.183087272
"markov_corr",1178693395,"MARKOV-EMB-Y",1.178693395
"markov_corr",1289285926,"MARKOV-EMB-Y",1.289285926
"markov_corr",1377811308,"MARKOV-EMB-Y",1.377811308
"markov_corr",1143914654,"MARKOV-EMB-Y",1.143914654
"markov_corr",572959844,"MARKOV-EMB-Y",0.572959844
"markov_corr",561958313,"MARKOV-EMB-Y",0.561958313
"markov_corr",761779582,"MARKOV-EMB-Y",0.761779582
"markov_corr",906540866,"MARKOV-EMB-Y",0.906540866
"markov_corr",1176786892,"MARKOV-EMB-Y",1.176786892
"markov_corr",1117875992,"MARKOV-EMB-Y",1.117875992
"markov_corr",1177967374,"MARKOV-EMB-Y",1.177967374
"markov_corr",1199252554,"MARKOV-EMB-Y",1.199252554
"markov_corr",1030823611,"MARKOV-EMB-Y",1.030823611
"markov_corr",1086701028,"MARKOV-EMB-Y",1.086701028
"markov_corr",1098909106,"MARKOV-EMB-Y",1.098909106
"markov_corr",1123042570,"MARKOV-EMB-Y",1.12304257
"markov_corr",1311091128,"MARKOV-EMB-Y",1.311091128
"markov_corr",1501470850,"MARKOV-EMB-Y",1.50147085
"markov_corr",1367395969,"MARKOV-EMB-Y",1.367395969
"markov_corr",1243077119,"MARKOV-EMB-Y",1.243077119
"markov_corr",1083375237,"MARKOV-EMB-Y",1.083375237
"markov_corr",1183257554,"MARKOV-EMB-Y",1.183257554
"markov_corr",1236401964,"MARKOV-EMB-Y",1.236401964
"markov_corr",1374154352,"MARKOV-EMB-Y",1.374154352
"markov_corr",1253042931,"MARKOV-EMB-Y",1.253042931
"markov_corr",1364166331,"MARKOV-EMB-Y",1.364166331
"markov_corr",1358409892,"MARKOV-EMB-Y",1.358409892
"markov_corr",1373600271,"MARKOV-EMB-Y",1.373600271
"markov_corr",1374412824,"MARKOV-EMB-Y",1.374412824
"markov_corr",1373160271,"MARKOV-EMB-Y",1.373160271
"markov_corr",1376757755,"MARKOV-EMB-Y",1.376757755
"markov_corr",1370590060,"MARKOV-EMB-Y",1.37059006
"markov_corr",1355254678,"MARKOV-EMB-Y",1.355254678
"markov_corr",1377314966,"MARKOV-EMB-Y",1.377314966
"markov_corr",1368097188,"MARKOV-EMB-Y",1.368097188
"markov_corr",1380183745,"MARKOV-EMB-Y",1.380183745
"markov_corr",1375804589,"MARKOV-EMB-Y",1.375804589
"markov_corr",1381427909,"MARKOV-EMB-Y",1.381427909
"markov_corr",1380010622,"MARKOV-EMB-Y",1.380010622
"markov_corr",1277429187,"MARKOV-EMB-Y",1.277429187
"markov_corr",1222202986,"MARKOV-EMB-Y",1.222202986
"markov_corr",1165255050,"MARKOV-EMB-Y",1.16525505
"markov_corr",881395365,"MARKOV-EMB-Y",0.881395365
"markov_corr",867745583,"MARKOV-EMB-Y",0.867745583
"markov_corr",1002659894,"MARKOV-EMB-Y",1.002659894
"markov_corr",763250103,"MARKOV-EMB-Y",0.763250103
"markov_corr",1144383559,"MARKOV-EMB-Y",1.144383559
"markov_corr",1329215343,"MARKOV-EMB-Y",1.329215343
"markov_corr",1184323974,"MARKOV-EMB-Y",1.184323974
"markov_corr",1176121322,"MARKOV-EMB-Y",1.176121322
"markov_corr",1111471300,"MARKOV-EMB-Y",1.1114713
"markov_corr",827311732,"MARKOV-EMB-Y",0.827311732
"markov_corr",1156777996,"MARKOV-EMB-Y",1.156777996
"markov_corr",1183586937,"MARKOV-EMB-Y",1.183586937
"markov_corr",1174120118,"MARKOV-EMB-Y",1.174120118
"markov_corr",1212876973,"MARKOV-EMB-Y",1.212876973
"markov_corr",1175652068,"MARKOV-EMB-Y",1.175652068
"markov_corr",1318341758,"MARKOV-EMB-Y",1.318341758
"markov_corr",1246171335,"MARKOV-EMB-Y",1.246171335
"markov_corr",1230572776,"MARKOV-EMB-Y",1.230572776
"markov_corr",773614953,"MARKOV-EMB-Y",0.773614953
"markov_corr",351300970,"MARKOV-EMB-Y",0.35130097
"markov_corr",366001834,"MARKOV-EMB-Y",0.366001834
"markov_corr",370711630,"MARKOV-EMB-Y",0.37071163
"markov_corr",348388026,"MARKOV-EMB-Y",0.348388026
"markov_corr",345163465,"MARKOV-EMB-Y",0.345163465
